relative_bin,oil_temperature,tp2,motor_current,h1,tp3,dv_electric,reservoirs,dv_pressure,comp,mpg,towers,TP2 - TP3,pressure_switch,TP3 - Reservoirs,lps,caudal_impulses,oil_level
t-11,0.08303381806945306,0.04387442443995092,0.0408621275551725,0.04666053625279397,0.03383025672779451,0.015432132362274507,0.022918353803960345,0.044027695575473424,0.02902043116246917,0.02551249593465627,0.022926104125297997,0.00898743433671445,0.006273152699435532,0.011814174373824121,0.0,0.0,0.0
t-10,0.09277530101285314,0.0572442477896212,0.036899325280255295,0.040691796605204604,0.032389738774886365,0.051667123886625435,0.028453083287904062,0.03827901464253001,0.021242510413256924,0.02932118274944956,0.022116694955604317,0.019423764340764715,0.012891998749103843,0.014692743907411664,0.0,0.0,0.0
t-9,0.048854649494651264,0.06113720116357535,0.036375534110101124,0.03098602078152874,0.034579181854311886,0.041381712845796476,0.032701024077447204,0.02023490351710102,0.024770815936619332,0.042604294468995385,0.021716887989960167,0.021282883111377535,0.011492485535962323,0.011716453399283226,0.0,0.0,0.0
t-8,0.07062509601935313,0.06561436791462728,0.03079162199504816,0.023922633559893977,0.03094376657795327,0.018053648897840027,0.029850038011920075,0.02200799530718604,0.040002391693070564,0.04206294705859423,0.02502906781235547,0.008910084778495649,0.015001388791436096,0.014331541428594377,0.0,0.0,0.0
t-7,0.05635226953865768,0.040427094006550784,0.035453642520388004,0.04414050380816044,0.025244475323673545,0.04255540996336903,0.028932805060272113,0.03053898633107857,0.03864459928892889,0.03770271477646161,0.026340454446226902,0.021877336074814742,0.01183141587258964,0.0075758009628972695,0.0,0.0,0.0
t-6,0.038440480707156215,0.045563625767914014,0.05337909708963307,0.046185463078262504,0.034938829475664665,0.019826535725629837,0.03104993661142843,0.029878079702271607,0.04870394272871475,0.030822609436421653,0.02858191769285732,0.039702368905822356,0.010413268637046792,0.010281833660163046,0.0,0.0,0.0
t-5,0.07358121560322206,0.060765844895990725,0.037470499307302646,0.042942599666719955,0.03835524649837957,0.03443771483970682,0.029145984353094748,0.04114202470694463,0.02142379177541585,0.025845877163533985,0.048283639996715415,0.01619144708571568,0.007200234568676306,0.01301896742720357,0.0,0.0,0.0
t-4,0.05776965267428194,0.045820065240156825,0.05132075340258735,0.027612043033023514,0.027974516485779765,0.031095868122705567,0.027593436165625054,0.025416351433524356,0.01864071174765674,0.02359391224908762,0.022888670030267226,0.017093248716270083,0.012490427272763983,0.015319574482233572,0.0,0.0,0.0
t-3,0.05916275616738738,0.04440324327355524,0.042919209008729725,0.040940367950037776,0.0285072589263169,0.03246235389239423,0.023449768047176467,0.027392851063265222,0.026222217560131655,0.020503898091424055,0.02631476241490591,0.017225124160759463,0.011477866226681916,0.010652430587106845,0.0,0.0,0.0
t-2,0.08596585414755717,0.051554598668658747,0.05356749181077308,0.04771588815407723,0.03429554824949217,0.0202349403592152,0.03777853955053327,0.02010660193350091,0.022494541488367145,0.027375284413676725,0.024982781213415614,0.023764088474993093,0.014102038959951498,0.011692412631632263,0.0,0.0,0.0
t-1,0.05539373449375181,0.03863367577469326,0.044268886930715505,0.04552279667385797,0.03565027626192256,0.03269938392175603,0.030282752978607833,0.027158423293026226,0.030027349674212833,0.02202096938238684,0.029511790346012104,0.00976684075507291,0.018854024584748812,0.010533689011661313,0.0,0.0,0.0
t-0,0.07336352352713213,0.048535778573407906,0.03394969268050696,0.039117376729205115,0.02668099283992361,0.02284908798069745,0.035704049436961476,0.028312540318953677,0.02970589274800047,0.021282654556112883,0.03386917105829354,0.021111679156237302,0.0134457864858021,0.013187972382997428,0.0,0.0,0.0
